2026-06-09 22:50:59 - OPTIONS /reindex/stream - 200 - 1.31ms
2026-06-09 22:50:59 - GET /logs/stream - 200 - 1.70ms
2026-06-09 22:50:59 - POST /reindex/stream - 200 - 3.52ms
2026-06-09 22:51:07 - GET /docs - 200 - 0.59ms
2026-06-09 22:51:17 - GET /docs - 200 - 0.53ms
2026-06-09 22:51:20 - GET /logs/stream - 200 - 1.14ms
2026-06-09 22:51:27 - GET /docs - 200 - 0.00ms
2026-06-09 22:51:37 - GET /docs - 200 - 0.00ms
2026-06-09 22:51:47 - GET /docs - 200 - 0.00ms
2026-06-09 22:51:57 - GET /docs - 200 - 0.00ms
2026-06-09 22:52:07 - GET /docs - 200 - 0.00ms
2026-06-09 22:52:17 - GET /docs - 200 - 1.09ms
2026-06-09 22:52:20 - OPTIONS /search/callers - 200 - 1.42ms
2026-06-09 22:52:20 - GET /search/callers - 200 - 25.83ms
2026-06-09 22:52:27 - GET /docs - 200 - 0.00ms
2026-06-09 22:52:33 - OPTIONS /search/callees - 200 - 0.00ms
2026-06-09 22:52:33 - GET /search/callees - 200 - 14.60ms
2026-06-09 22:52:37 - GET /docs - 200 - 0.00ms
2026-06-09 22:52:47 - GET /docs - 200 - 1.07ms
2026-06-09 22:52:57 - GET /docs - 200 - 2.40ms
2026-06-09 22:53:07 - GET /docs - 200 - 0.00ms
2026-06-09 22:53:17 - GET /docs - 200 - 2.51ms
2026-06-09 22:53:27 - GET /docs - 200 - 2.02ms
2026-06-09 22:53:37 - GET /docs - 200 - 0.00ms
2026-06-09 22:53:47 - GET /docs - 200 - 0.49ms
2026-06-09 22:53:57 - GET /docs - 200 - 0.00ms
2026-06-09 22:54:07 - GET /docs - 200 - 3.12ms
2026-06-09 22:54:17 - GET /docs - 200 - 0.00ms
2026-06-09 22:54:27 - GET /docs - 200 - 1.52ms
2026-06-09 22:54:37 - GET /docs - 200 - 0.00ms
2026-06-09 22:54:47 - GET /docs - 200 - 0.00ms
2026-06-09 22:54:57 - GET /docs - 200 - 0.90ms
2026-06-09 22:55:07 - GET /docs - 200 - 2.60ms
2026-06-09 22:55:17 - GET /docs - 200 - 0.00ms
2026-06-09 22:55:27 - GET /docs - 200 - 2.25ms
2026-06-09 22:55:30 - OPTIONS /search/index - 200 - 0.45ms
2026-06-09 22:55:30 - GET /search/index - 200 - 19.07ms
2026-06-09 22:55:31 - GET /search/index - 200 - 15.52ms
2026-06-09 22:55:32 - GET /search/index - 200 - 16.42ms
2026-06-09 22:55:33 - GET /search/index - 200 - 10.74ms
2026-06-09 22:55:37 - GET /docs - 200 - 0.00ms
2026-06-09 22:55:37 - OPTIONS /search/overview - 200 - 0.00ms
2026-06-09 22:55:37 - GET /search/overview - 200 - 75.61ms
2026-06-09 22:55:47 - GET /docs - 200 - 0.00ms
2026-06-09 22:55:57 - GET /docs - 200 - 0.00ms
2026-06-09 22:56:07 - GET /docs - 200 - 1.52ms
2026-06-09 22:56:17 - GET /docs - 200 - 0.00ms
2026-06-09 22:56:27 - GET /docs - 200 - 0.00ms
2026-06-09 22:56:37 - GET /docs - 200 - 1.13ms
2026-06-09 22:56:47 - GET /docs - 200 - 0.00ms
2026-06-09 22:56:57 - GET /docs - 200 - 0.00ms
2026-06-09 22:57:07 - GET /docs - 200 - 0.96ms
2026-06-09 22:57:17 - GET /docs - 200 - 0.00ms
2026-06-09 22:57:27 - GET /docs - 200 - 0.35ms
